economy,id_year,year,co2_emis
ABW,ABW 2011,2011,
AFE,AFE 2011,2011,0.970187523
AFG,AFG 2011,2011,0.305307955
AFW,AFW 2011,2011,0.468717763
AGO,AGO 2011,2011,0.983960246
ALB,ALB 2011,2011,1.66942319
AND,AND 2011,2011,6.943755715
ARB,ARB 2011,2011,4.229551929
ARE,ARE 2011,2011,19.31149239
ARG,ARG 2011,2011,4.280989353
ARM,ARM 2011,2011,1.686596291
ASM,ASM 2011,2011,
ATG,ATG 2011,2011,6.226291338
AUS,AUS 2011,2011,17.29541584
AUT,AUT 2011,2011,8.135474381
AZE,AZE 2011,2011,2.973918764
BDI,BDI 2011,2011,0.038072143
BEL,BEL 2011,2011,8.740505152
BEN,BEN 2011,2011,0.478081269
BFA,BFA 2011,2011,0.148169111
BGD,BGD 2011,2011,0.362290354
BGR,BGR 2011,2011,6.755278124
BHR,BHR 2011,2011,21.4672834
BHS,BHS 2011,2011,6.799841072
BIH,BIH 2011,2011,6.34226534
BLR,BLR 2011,2011,6.18814293
BLZ,BLZ 2011,2011,2.03314949
BMU,BMU 2011,2011,
BOL,BOL 2011,2011,1.597692149
BRA,BRA 2011,2011,2.110701416
BRB,BRB 2011,2011,6.388709373
BRN,BRN 2011,2011,18.25626497
BTN,BTN 2011,2011,0.827105472
BWA,BWA 2011,2011,1.818150348
CAF,CAF 2011,2011,0.040151968
CAN,CAN 2011,2011,15.9959443
CEB,CEB 2011,2011,6.78806356
CHE,CHE 2011,2011,5.205754138
CHI,CHI 2011,2011,
CHL,CHL 2011,2011,4.45277178
CHN,CHN 2011,2011,6.901344429
CIV,CIV 2011,2011,0.283820632
CMR,CMR 2011,2011,0.333025685
COD,COD 2011,2011,0.043988524
COG,COG 2011,2011,1.173592194
COL,COL 2011,2011,1.525086683
COM,COM 2011,2011,0.223856884
CPV,CPV 2011,2011,1.080525691
CRI,CRI 2011,2011,1.587631905
CSS,CSS 2011,2011,5.783352616
CUB,CUB 2011,2011,2.441871696
CUW,CUW 2011,2011,
CYM,CYM 2011,2011,
CYP,CYP 2011,2011,6.663255087
CZE,CZE 2011,2011,10.4010178
DEU,DEU 2011,2011,9.299036295
DJI,DJI 2011,2011,0.512376551
DMA,DMA 2011,2011,2.618486619
DNK,DNK 2011,2011,7.73708669
DOM,DOM 2011,2011,2.111324225
DZA,DZA 2011,2011,3.305372102
EAP,EAP 2011,2011,5.296884898
EAR,EAR 2011,2011,2.036603271
EAS,EAS 2011,2011,5.988208696
ECA,ECA 2011,2011,7.876863508
ECS,ECS 2011,2011,7.409281312
ECU,ECU 2011,2011,2.434746077
EGY,EGY 2011,2011,2.306837216
EMU,EMU 2011,2011,7.188388714
ERI,ERI 2011,2011,0.177704615
ESP,ESP 2011,2011,5.87043563
EST,EST 2011,2011,13.68801133
ETH,ETH 2011,2011,0.082119038
EUU,EUU 2011,2011,7.074828682
FCS,FCS 2011,2011,0.807017252
FIN,FIN 2011,2011,10.22962444
FJI,FJI 2011,2011,1.221989216
FRA,FRA 2011,2011,5.128759961
FRO,FRO 2011,2011,
FSM,FSM 2011,2011,1.112274855
GAB,GAB 2011,2011,3.260931007
GBR,GBR 2011,2011,7.043919991
GEO,GEO 2011,2011,1.735685448
GHA,GHA 2011,2011,0.448371612
GIB,GIB 2011,2011,
GIN,GIN 2011,2011,0.248866979
GMB,GMB 2011,2011,0.225201324
GNB,GNB 2011,2011,0.14915939
GNQ,GNQ 2011,2011,8.728031196
GRC,GRC 2011,2011,7.61375705
GRD,GRD 2011,2011,2.697575683
GRL,GRL 2011,2011,
GTM,GTM 2011,2011,0.808455576
GUM,GUM 2011,2011,
GUY,GUY 2011,2011,2.458917328
HIC,HIC 2011,2011,10.90302069
HKG,HKG 2011,2011,
HND,HND 2011,2011,1.021745008
HPC,HPC 2011,2011,0.2381007
HRV,HRV 2011,2011,4.445615774
HTI,HTI 2011,2011,0.271239243
HUN,HUN 2011,2011,4.704300453
IBD,IBD 2011,2011,4.162380544
IBT,IBT 2011,2011,3.279966674
IDA,IDA 2011,2011,0.498339426
IDB,IDB 2011,2011,0.846325348
IDN,IDN 2011,2011,1.923555566
IDX,IDX 2011,2011,0.318569344
IMN,IMN 2011,2011,
IND,IND 2011,2011,1.396875309
INX,INX 2011,2011,
IRL,IRL 2011,2011,8.008586809
IRN,IRN 2011,2011,7.231182918
IRQ,IRQ 2011,2011,3.491252948
ISL,ISL 2011,2011,5.924504836
ISR,ISR 2011,2011,8.990702786
ITA,ITA 2011,2011,6.680594198
JAM,JAM 2011,2011,2.742001752
JOR,JOR 2011,2011,2.919839469
JPN,JPN 2011,2011,9.493010565
KAZ,KAZ 2011,2011,14.82436446
KEN,KEN 2011,2011,0.305616412
KGZ,KGZ 2011,2011,1.38178651
KHM,KHM 2011,2011,0.367781146
KIR,KIR 2011,2011,0.455079145
KNA,KNA 2011,2011,5.884701902
KOR,KOR 2011,2011,11.98478721
KWT,KWT 2011,2011,26.49320522
LAC,LAC 2011,2011,2.527013044
LAO,LAO 2011,2011,0.473791308
LBN,LBN 2011,2011,4.198169516
LBR,LBR 2011,2011,0.203293358
LBY,LBY 2011,2011,6.779105676
LCA,LCA 2011,2011,3.427343076
LCN,LCN 2011,2011,2.787336939
LDC,LDC 2011,2011,0.254057632
LIC,LIC 2011,2011,0.335925942
LIE,LIE 2011,2011,4.97388729
LKA,LKA 2011,2011,0.755938089
LMC,LMC 2011,2011,1.484380004
LMY,LMY 2011,2011,3.218037557
LSO,LSO 2011,2011,0.279730297
LTE,LTE 2011,2011,6.229106836
LTU,LTU 2011,2011,3.913325743
LUX,LUX 2011,2011,21.02838372
LVA,LVA 2011,2011,3.835493313
MAC,MAC 2011,2011,
MAF,MAF 2011,2011,
MAR,MAR 2011,2011,1.700112763
MCO,MCO 2011,2011,
MDA,MDA 2011,2011,2.915371436
MDG,MDG 2011,2011,0.097994656
MDV,MDV 2011,2011,2.697361368
MEA,MEA 2011,2011,5.371775471
MEX,MEX 2011,2011,4.190959072
MHL,MHL 2011,2011,2.642955591
MIC,MIC 2011,2011,3.517901002
MKD,MKD 2011,2011,4.624639348
MLI,MLI 2011,2011,0.194516934
MLT,MLT 2011,2011,6.173907034
MMR,MMR 2011,2011,0.17451718
MNA,MNA 2011,2011,3.578487717
MNE,MNE 2011,2011,4.09625219
MNG,MNG 2011,2011,5.732636649
MNP,MNP 2011,2011,
MOZ,MOZ 2011,2011,0.140990764
MRT,MRT 2011,2011,0.698021064
MUS,MUS 2011,2011,2.906410475
MWI,MWI 2011,2011,0.06140197
MYS,MYS 2011,2011,6.946925766
NAC,NAC 2011,2011,16.54623156
NAM,NAM 2011,2011,1.561664614
NCL,NCL 2011,2011,
NER,NER 2011,2011,0.081582528
NGA,NGA 2011,2011,0.574143901
NIC,NIC 2011,2011,0.802685307
NLD,NLD 2011,2011,9.511130441
NOR,NOR 2011,2011,7.995012096
NPL,NPL 2011,2011,0.190710912
NRU,NRU 2011,2011,3.889915307
NZL,NZL 2011,2011,6.909215537
OED,OED 2011,2011,9.598293765
OMN,OMN 2011,2011,16.72035316
OSS,OSS 2011,2011,6.168150057
PAK,PAK 2011,2011,0.713484609
PAN,PAN 2011,2011,2.708290234
PER,PER 2011,2011,1.642935704
PHL,PHL 2011,2011,0.857710061
PLW,PLW 2011,2011,11.51315754
PNG,PNG 2011,2011,0.660976019
POL,POL 2011,2011,8.159838047
PRE,PRE 2011,2011,0.467601424
PRI,PRI 2011,2011,
PRK,PRK 2011,2011,1.496946188
PRT,PRT 2011,2011,4.723629222
PRY,PRY 2011,2011,0.893233107
PSE,PSE 2011,2011,
PSS,PSS 2011,2011,1.061322983
PST,PST 2011,2011,10.7807243
PYF,PYF 2011,2011,
QAT,QAT 2011,2011,37.79575353
ROU,ROU 2011,2011,4.172223886
RUS,RUS 2011,2011,11.88499702
RWA,RWA 2011,2011,0.064290856
SAS,SAS 2011,2011,1.177847715
SAU,SAU 2011,2011,15.38160708
SDN,SDN 2011,2011,0.462526844
SEN,SEN 2011,2011,0.587920994
SGP,SGP 2011,2011,8.636708162
SLB,SLB 2011,2011,0.632087268
SLE,SLE 2011,2011,0.11191121
SLV,SLV 2011,2011,1.104711531
SMR,SMR 2011,2011,
SOM,SOM 2011,2011,0.051568176
SRB,SRB 2011,2011,7.081738796
SSA,SSA 2011,2011,0.766571624
SSD,SSD 2011,2011,0.124962777
SSF,SSF 2011,2011,0.766950898
SST,SST 2011,2011,5.768447737
STP,STP 2011,2011,0.537507264
SUR,SUR 2011,2011,3.53167468
SVK,SVK 2011,2011,6.320409762
SVN,SVN 2011,2011,7.647930119
SWE,SWE 2011,2011,4.717853416
SWZ,SWZ 2011,2011,0.597084622
SXM,SXM 2011,2011,
SYC,SYC 2011,2011,4.688875887
SYR,SYR 2011,2011,2.504098665
TCA,TCA 2011,2011,
TCD,TCD 2011,2011,0.08930217
TEA,TEA 2011,2011,5.345001486
TEC,TEC 2011,2011,7.69890608
TGO,TGO 2011,2011,0.373406795
THA,THA 2011,2011,3.399655519
TJK,TJK 2011,2011,0.328845146
TKM,TKM 2011,2011,12.20897304
TLA,TLA 2011,2011,2.767778415
TLS,TLS 2011,2011,0.224622993
TMN,TMN 2011,2011,3.579693261
TON,TON 2011,2011,1.022200327
TSA,TSA 2011,2011,1.177847715
TSS,TSS 2011,2011,0.766950898
TTO,TTO 2011,2011,15.67583571
TUN,TUN 2011,2011,2.387485457
TUR,TUR 2011,2011,4.283450085
TUV,TUV 2011,2011,0.934579418
TZA,TZA 2011,2011,0.17644765
UGA,UGA 2011,2011,0.112326689
UKR,UKR 2011,2011,6.199174358
UMC,UMC 2011,2011,6.083554624
URY,URY 2011,2011,2.263778074
USA,USA 2011,2011,16.60421817
UZB,UZB 2011,2011,4.384207069
VCT,VCT 2011,2011,2.483832192
VEN,VEN 2011,2011,5.500382139
VGB,VGB 2011,2011,
VIR,VIR 2011,2011,
VNM,VNM 2011,2011,1.765382683
VUT,VUT 2011,2011,0.517322321
WLD,WLD 2011,2011,4.539725931
WSM,WSM 2011,2011,1.018584081
XKX,XKX 2011,2011,
YEM,YEM 2011,2011,0.900861678
ZAF,ZAF 2011,2011,7.803853203
ZMB,ZMB 2011,2011,0.213797821
ZWE,ZWE 2011,2011,0.875954873
ABW,ABW 2012,2012,
AFE,AFE 2012,2012,0.983547239
AFG,AFG 2012,2012,0.265209509
AFW,AFW 2012,2012,0.472242412
AGO,AGO 2012,2012,0.947662543
ALB,ALB 2012,2012,1.50324046
AND,AND 2012,2012,6.900145178
ARB,ARB 2012,2012,4.426554863
ARE,ARE 2012,2012,20.26435367
ARG,ARG 2012,2012,4.264223782
ARM,ARM 2012,2012,1.962653917
ASM,ASM 2012,2012,
ATG,ATG 2012,2012,7.984122865
AUS,AUS 2012,2012,17.02204223
AUT,AUT 2012,2012,7.723614487
AZE,AZE 2012,2012,3.239102868
BDI,BDI 2012,2012,0.037772528
BEL,BEL 2012,2012,8.577525877
BEN,BEN 2012,2012,0.443375821
BFA,BFA 2012,2012,0.171791872
