,id,value,aggregate,longitude,latitude,region,adminregion,lendingType,incomeLevel,capitalCity
0,ABW,Aruba,FALSE,-70.0167,12.5167,LCN,,LNX,HIC,Oranjestad
1,AFE,Africa Eastern and Southern,TRUE,,,,,,,
2,AFG,Afghanistan,FALSE,69.1761,34.5228,SAS,SAS,IDX,LIC,Kabul
3,AFW,Africa Western and Central,TRUE,,,,,,,
4,AGO,Angola,FALSE,13.242,-8.81155,SSF,SSA,IBD,LMC,Luanda
5,ALB,Albania,FALSE,19.8172,41.3317,ECS,ECA,IBD,UMC,Tirane
6,AND,Andorra,FALSE,1.5218,42.5075,ECS,,LNX,HIC,Andorra la Vella
7,ARB,Arab World,TRUE,,,,,,,
8,ARE,United Arab Emirates,FALSE,54.3705,24.4764,MEA,,LNX,HIC,Abu Dhabi
9,ARG,Argentina,FALSE,-58.4173,-34.6118,LCN,LAC,IBD,UMC,Buenos Aires
10,ARM,Armenia,FALSE,44.509,40.1596,ECS,ECA,IBD,UMC,Yerevan
11,ASM,American Samoa,FALSE,-170.691,-14.2846,EAS,EAP,LNX,UMC,Pago Pago
12,ATG,Antigua and Barbuda,FALSE,-61.8456,17.1175,LCN,,IBD,HIC,Saint John's
13,AUS,Australia,FALSE,149.129,-35.282,EAS,,LNX,HIC,Canberra
14,AUT,Austria,FALSE,16.3798,48.2201,ECS,,LNX,HIC,Vienna
15,AZE,Azerbaijan,FALSE,49.8932,40.3834,ECS,ECA,IBD,UMC,Baku
16,BDI,Burundi,FALSE,29.3639,-3.3784,SSF,SSA,IDX,LIC,Bujumbura
17,BEL,Belgium,FALSE,4.36761,50.8371,ECS,,LNX,HIC,Brussels
18,BEN,Benin,FALSE,2.6323,6.4779,SSF,SSA,IDX,LMC,Porto-Novo
19,BFA,Burkina Faso,FALSE,-1.53395,12.3605,SSF,SSA,IDX,LIC,Ouagadougou
20,BGD,Bangladesh,FALSE,90.4113,23.7055,SAS,SAS,IDX,LMC,Dhaka
21,BGR,Bulgaria,FALSE,23.3238,42.7105,ECS,ECA,IBD,UMC,Sofia
22,BHR,Bahrain,FALSE,50.5354,26.1921,MEA,,LNX,HIC,Manama
23,BHS,"Bahamas, The",FALSE,-77.339,25.0661,LCN,,LNX,HIC,Nassau
24,BIH,Bosnia and Herzegovina,FALSE,18.4214,43.8607,ECS,ECA,IBD,UMC,Sarajevo
25,BLR,Belarus,FALSE,27.5766,53.9678,ECS,ECA,IBD,UMC,Minsk
26,BLZ,Belize,FALSE,-88.7713,17.2534,LCN,LAC,IBD,UMC,Belmopan
27,BMU,Bermuda,FALSE,-64.706,32.3293,NAC,,LNX,HIC,Hamilton
28,BOL,Bolivia,FALSE,-66.1936,-13.9908,LCN,LAC,IBD,LMC,La Paz
29,BRA,Brazil,FALSE,-47.9292,-15.7801,LCN,LAC,IBD,UMC,Brasilia
30,BRB,Barbados,FALSE,-59.6105,13.0935,LCN,,LNX,HIC,Bridgetown
31,BRN,Brunei,FALSE,114.946,4.94199,EAS,,LNX,HIC,Bandar Seri Begawan
32,BTN,Bhutan,FALSE,89.6177,27.5768,SAS,SAS,IDX,LMC,Thimphu
33,BWA,Botswana,FALSE,25.9201,-24.6544,SSF,SSA,IBD,UMC,Gaborone
34,CAF,Central African Republic,FALSE,21.6407,5.63056,SSF,SSA,IDX,LIC,Bangui
35,CAN,Canada,FALSE,-75.6919,45.4215,NAC,,LNX,HIC,Ottawa
36,CEB,Central Europe and the Baltics,TRUE,,,,,,,
37,CHE,Switzerland,FALSE,7.44821,46.948,ECS,,LNX,HIC,Bern
38,CHI,Channel Islands,FALSE,,,ECS,,LNX,HIC,
39,CHL,Chile,FALSE,-70.6475,-33.475,LCN,,IBD,HIC,Santiago
40,CHN,China,FALSE,116.286,40.0495,EAS,EAP,IBD,UMC,Beijing
41,CIV,Cote d'Ivoire,FALSE,-4.0305,5.332,SSF,SSA,IDX,LMC,Yamoussoukro
42,CMR,Cameroon,FALSE,11.5174,3.8721,SSF,SSA,IDB,LMC,Yaounde
43,COD,"Congo, Dem. Rep.",FALSE,15.3222,-4.325,SSF,SSA,IDX,LIC,Kinshasa
44,COG,"Congo, Rep.",FALSE,15.2662,-4.2767,SSF,SSA,IDB,LMC,Brazzaville
45,COL,Colombia,FALSE,-74.082,4.60987,LCN,LAC,IBD,UMC,Bogota
46,COM,Comoros,FALSE,43.2418,-11.6986,SSF,SSA,IDX,LMC,Moroni
47,CPV,Cabo Verde,FALSE,-23.5087,14.9218,SSF,SSA,IDB,LMC,Praia
48,CRI,Costa Rica,FALSE,-84.0089,9.63701,LCN,LAC,IBD,UMC,San Jose
49,CSS,Caribbean small states,TRUE,,,,,,,
50,CUB,Cuba,FALSE,-82.3667,23.1333,LCN,LAC,LNX,UMC,Havana
51,CUW,Curacao,FALSE,,,LCN,,LNX,HIC,Willemstad
52,CYM,Cayman Islands,FALSE,-81.3857,19.3022,LCN,,LNX,HIC,George Town
