economy,year,id_year,urbanpop
ABW,2011,ABW 2011,43493
AFE,2011,AFE 2011,175415651
AFG,2011,AFG 2011,7004588
AFW,2011,AFW 2011,154982054
AGO,2011,AGO 2011,14683555
ALB,2011,ALB 2011,1546929
AND,2011,AND 2011,62611
ARB,2011,ARB 2011,210892180
ARE,2011,ARE 2011,7239445
ARG,2011,ARG 2011,37543830
ARM,2011,ARM 2011,1855213
ASM,2011,ASM 2011,47522
ATG,2011,ATG 2011,22292
AUS,2011,AUS 2011,19056040
AUT,2011,AUT 2011,4792887
AZE,2011,AZE 2011,4920166
BDI,2011,BDI 2011,1032093
BEL,2011,BEL 2011,10784163
BEN,2011,BEN 2011,4241480
BFA,2011,BFA 2011,4183204
BGD,2011,BGD 2011,46903386
BGR,2011,BGR 2011,5337678
BHR,2011,BHR 2011,1075052
BHS,2011,BHS 2011,311718
BIH,2011,BIH 2011,1717279
BLR,2011,BLR 2011,7114020
BLZ,2011,BLZ 2011,149043
BMU,2011,BMU 2011,64564
BOL,2011,BOL 2011,6952386
BRA,2011,BRA 2011,167726203
BRB,2011,BRB 2011,87329
BRN,2011,BRN 2011,302374
BTN,2011,BTN 2011,253839
BWA,2011,BWA 2011,1362903
CAF,2011,CAF 2011,1851877
CAN,2011,CAN 2011,27847821
CEB,2011,CEB 2011,64654506
CHE,2011,CHE 2011,5825978
CHI,2011,CHI 2011,49068
CHL,2011,CHL 2011,14963678
CHN,2011,CHN 2011,679390629
CIV,2011,CIV 2011,10296507
CMR,2011,CMR 2011,10666950
COD,2011,COD 2011,27835187
COG,2011,COG 2011,2920696
COL,2011,COL 2011,35492726
COM,2011,COM 2011,187888
CPV,2011,CPV 2011,328762
CRI,2011,CRI 2011,3410168
CSS,2011,CSS 2011,3566759
CUB,2011,CUB 2011,8664868
CUW,2011,CUW 2011,135409
CYM,2011,CYM 2011,55492
CYP,2011,CYP 2011,771857
CZE,2011,CZE 2011,7681562
DEU,2011,DEU 2011,61940177
DJI,2011,DJI 2011,721944
DMA,2011,DMA 2011,47012
DNK,2011,DNK 2011,4844002
DOM,2011,DOM 2011,7410669
DZA,2011,DZA 2011,24935851
EAP,2011,EAP 2011,965894856
EAR,2011,EAR 2011,1266355697
EAS,2011,EAS 2011,1177159568
ECA,2011,ECA 2011,252203843
ECS,2011,ECS 2011,630961782
ECU,2011,ECU 2011,9577064
EGY,2011,EGY 2011,38356023
EMU,2011,EMU 2011,253287677
ERI,2011,ERI 2011,1147380
ESP,2011,ESP 2011,36773882
EST,2011,EST 2011,902194
ETH,2011,ETH 2011,16283910
EUU,2011,EUU 2011,322501582
FCS,2011,FCS 2011,321936916
FIN,2011,FIN 2011,4543014
FJI,2011,FJI 2011,478549
FRA,2011,FRA 2011,51375729
FRO,2011,FRO 2011,19881
FSM,2011,FSM 2011,24064
GAB,2011,GAB 2011,1525981
GBR,2011,GBR 2011,51600211
GEO,2011,GEO 2011,2100564
GHA,2011,GHA 2011,13468281
GIB,2011,GIB 2011,31701
GIN,2011,GIN 2011,3575843
GMB,2011,GMB 2011,1126672
GNB,2011,GNB 2011,651781
GNQ,2011,GNQ 2011,772460
GRC,2011,GRC 2011,8511794
GRD,2011,GRD 2011,41208
GRL,2011,GRL 2011,48217
GTM,2011,GTM 2011,7072123
GUM,2011,GUM 2011,156021
GUY,2011,GUY 2011,196477
HIC,2011,HIC 2011,943832637
HKG,2011,HKG 2011,7071600
HND,2011,HND 2011,4530522
HPC,2011,HPC 2011,213704750
HRV,2011,HRV 2011,2368126
HTI,2011,HTI 2011,4827045
HUN,2011,HUN 2011,6916190
IBD,2011,IBD 2011,2274477704
IBT,2011,IBT 2011,2755915238
IDA,2011,IDA 2011,481437534
IDB,2011,IDB 2011,188744530
IDN,2011,IDN 2011,125020092
IDX,2011,IDX 2011,292693004
IMN,2011,IMN 2011,43872
IND,2011,IND 2011,393333604
IRL,2011,IRL 2011,2827835
IRN,2011,IRN 2011,54356195
IRQ,2011,IRQ 2011,22427635
ISL,2011,ISL 2011,298556
ISR,2011,ISR 2011,7136149
ITA,2011,ITA 2011,40641670
JAM,2011,JAM 2011,1481009
JOR,2011,JOR 2011,6197912
JPN,2011,JPN 2011,116416235
KAZ,2011,KAZ 2011,9421048
KEN,2011,KEN 2011,10219218
KGZ,2011,KGZ 2011,1949521
KHM,2011,KHM 2011,3011402
KIR,2011,KIR 2011,52996
KNA,2011,KNA 2011,14837
KOR,2011,KOR 2011,40909592
KWT,2011,KWT 2011,3143825
LAC,2011,LAC 2011,418269352
LAO,2011,LAO 2011,1967246
LBN,2011,LBN 2011,4413617
LBR,2011,LBR 2011,2015022
LBY,2011,LBY 2011,4843884
LCA,2011,LCA 2011,31761
LCN,2011,LCN 2011,469524671
LDC,2011,LDC 2011,259055552
LIC,2011,LIC 2011,168676091
LIE,2011,LIE 2011,5215
LKA,2011,LKA 2011,3714770
LMC,2011,LMC 2011,1130922560
LMY,2011,LMY 2011,2699096714
LSO,2011,LSO 2011,515736
LTE,2011,LTE 2011,1234916745
LTU,2011,LTU 2011,2020994
