country,year,iso_code,Column1,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Brunei,2001,BRN,BRN 2001,340759,0,0,0,0,0,0,0,0,0,698.347,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.42,0,13.698,2.693,65610.273,0,0,0,7101.793,2.42,0,0,100,0,0,0,0,0,0,0,0.876,0.965,326097.781,111.121,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.793,2.42,0,4.918,5.425,339634.438,115.733,100,0,0,0,0,0,0,0,0,0,0,0,0,7101.793,22.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2002,BRN,BRN 2002,347470,0,0,0,0,0,0,0,0,0,700.787,0,0,0,0,0,0,0,0,0,0,0,0,2.54,2.54,0,16.77,3.749,75133.312,0,0,0,7309.983,2.54,0,0,100,0,0,0,0,0,0,0,0.544,0.604,321539.281,111.725,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7309.983,2.54,0,3.387,3.92,344357.312,119.654,100,0,0,0,0,0,0,0,0,0,0,0,0,7309.983,26.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2003,BRN,BRN 2003,354049,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3.455,0.902,76284.742,0,0,0,8473.403,3,0,0,100,0,0,0,0,0,0,0,7.81,8.726,340211.375,120.451,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8473.403,3,0,1.999,2.392,344713.219,122.045,100,0,0,0,0,0,0,0,0,0,0,0,0,8473.403,27.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2004,BRN,BRN 2004,360472,0,0,0,0,0,0,0,0,0,700.326,0,0,0,0,0,0,0,0,0,0,0,0,3.07,3.07,0,11.047,2.984,83202.562,0,0,0,8516.611,3.07,0,0,100,0,0,0,0,0,0,0,-0.982,-1.183,330866.812,119.268,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8516.611,3.07,0,-1.631,-1.99,333049.812,120.055,100,0,0,0,0,0,0,0,0,0,0,0,0,8516.611,29.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2005,BRN,BRN 2005,366728,0,0,0,0,0,0,0,0,0,700.326,0,0,0,0,0,0,0,0,0,0,0,0,3.07,3.07,0,12.652,3.795,92130.18,0,0,0,8371.326,3.07,0,0,100,0,0,0,0,0,0,0,-1.823,-2.174,319295,117.094,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8371.326,3.07,0,-2.229,-2.676,320072.438,117.38,100,0,0,0,0,0,0,0,0,0,0,0,0,8371.326,33.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2006,BRN,BRN 2006,372814,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.1,0,54.113,18.283,139666.797,0,0,0,8315.139,3.1,0,0,100,0,0,0,0,0,0,0,4.669,5.467,328746.406,122.561,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8315.139,3.1,0,7.079,8.31,337136.656,125.689,100,0,0,0,0,0,0,0,0,0,0,0,0,8315.139,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2007,BRN,BRN 2007,378761,0,0,0,0,0,0,0,0,0,699.06,0,0,0,0,0,0,0,0,0,0,0,0,3.19,3.19,0,4.979,2.592,144318.156,0,0,0,8422.198,3.19,0,0,100,0,0,0,0,0,0,0,-2.517,-3.085,315439.781,119.476,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8422.198,3.19,0,-12.138,-15.256,291564.375,110.433,100,0,0,0,0,0,0,0,0,0,0,0,0,8422.198,54.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2008,BRN,BRN 2008,384579,0,0,0,0,0,0,0,0,0,512.422,0,0,0,0,0,0,0,0,0,0,0,0,3.22,3.22,0,2.706,1.479,145980.906,0,0,0,8372.792,3.22,0,0,100,0,0,0,0,7462.706,2.87,0,-0.817,-0.976,308129.094,118.5,89.13,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.086,0.35,0,-9.854,-10.882,258857.953,99.551,10.87,0,0,0,0,0,0,0,0,0,0,0,0,8372.792,56.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2009,BRN,BRN 2009,390322,0,0,0,0,0,0,0,0,0,513.274,0,0,0,0,0,0,0,0,0,0,0,0,3.39,3.39,0,-33.659,-18.897,95420.391,0,0,0,8685.138,3.39,0,0,100,0,0,0,0,7737.202,3.02,0,-6.088,-7.214,285113.562,111.286,89.086,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.935,0.37,0,-3.941,-3.923,244997.938,95.628,10.914,0,0,0,0,0,0,0,0,0,0,0,0,8685.138,37.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2010,BRN,BRN 2010,396064,0,0,0,0,0,0,0,0,0,515.406,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.57,0,13.903,5.178,107111.188,0,0,0,9013.694,3.57,0,0,100,0,0,0,0,7928.012,3.14,0,7.609,8.467,302358.906,119.753,87.955,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.683,0.43,0,2.464,2.356,247395.219,97.984,12.045,0,0,0,0,0,0,0,0,0,0,0,0,9013.694,42.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
