economy,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
ABW,43493.0,43864.0,44228.0,44588.0,44943.0,45297.0,45648.0,45999.0,46351.0,46574.0,46734.0
AFE,175415651.0,182558745.0,190108665.0,198073341.0,206556291.0,215083329.0,223732118.0,232922215.0,242451029.0,252315370.0,262376949.0
AFG,7004588.0,7360701.0,7687539.0,8043935.0,8371880.0,8665979.0,8999963.0,9353296.0,9727157.0,10142913.0,10551772.0
AFW,154982054.0,161743874.0,168643432.0,175773257.0,183117253.0,190684610.0,198494008.0,206492202.0,214684207.0,223107995.0,231704052.0
AGO,14683555.0,15432363.0,16211664.0,17017877.0,17845914.0,18702478.0,19586972.0,20488542.0,21410634.0,22338586.0,23276246.0
ALB,1546929.0,1575788.0,1603505.0,1630119.0,1654503.0,1680247.0,1706345.0,1728969.0,1747593.0,1762645.0,1770478.0
AND,62611.0,62940.0,63186.0,63342.0,63384.0,64015.0,65087.0,66058.0,67170.0,68311.0,69438.0
ARB,210892180.0,216302063.0,222497540.0,228834568.0,235145769.0,241256824.0,247298631.0,253599696.0,259953055.0,265438305.0,270693478.0
ARE,7239445.0,7343475.0,7444846.0,7543693.0,7639464.0,7731918.0,7821224.0,7908257.0,7994705.0,8084399.0,8175678.0
ARG,37543830.0,38027774.0,38509756.0,38990109.0,39467043.0,39940546.0,40410674.0,40877099.0,41339571.0,41796990.0,42248949.0
ARM,1855213.0,1843080.0,1832631.0,1823893.0,1815962.0,1807826.0,1799649.0,1791257.0,1783156.0,1776315.0,1770343.0
ASM,47522.0,46937.0,46290.0,45579.0,44812.0,43990.0,43117.0,42203.0,41239.0,40255.0,39257.0
ATG,22292.0,22380.0,22434.0,22465.0,22485.0,22502.0,22518.0,22539.0,22574.0,22641.0,22727.0
AUS,19056040.0,19414834.0,19775013.0,20095657.0,20410546.0,20755798.0,21127403.0,21474309.0,21824008.0,22125378.0,22184739.0
AUT,4792887.0,4817487.0,4861991.0,4916377.0,4988134.0,5058968.0,5110858.0,5153759.0,5196085.0,5238479.0,5283472.0
AZE,4920166.0,5008847.0,5098727.0,5189181.0,5279540.0,5368846.0,5453517.0,5534464.0,5616706.0,5692217.0,5755809.0
BDI,1032093.0,1096506.0,1165374.0,1235881.0,1295625.0,1350704.0,1417430.0,1497829.0,1587191.0,1675149.0,1764450.0
BEL,10784163.0,10856360.0,10912673.0,10966157.0,11034732.0,11095615.0,11143219.0,11198627.0,11263911.0,11316947.0,11374657.0
BEN,4241480.0,4418712.0,4602023.0,4794300.0,4995735.0,5205425.0,5423582.0,5649376.0,5882329.0,6121168.0,6364839.0
BFA,4183204.0,4409695.0,4646488.0,4893865.0,5153071.0,5422969.0,5701421.0,5986896.0,6281301.0,6587430.0,6904253.0
BGD,46903386.0,48658361.0,50463354.0,52301622.0,54148316.0,56057220.0,58016080.0,59960707.0,61911343.0,63916296.0,65957486.0
BGR,5337678.0,5331472.0,5326274.0,5320503.0,5310996.0,5298039.0,5283539.0,5269340.0,5256027.0,5248079.0,5228804.0
BHR,1075052.0,1087280.0,1120807.0,1165795.0,1212293.0,1255867.0,1299292.0,1328001.0,1335714.0,1322423.0,1311407.0
BHS,311718.0,315323.0,318531.0,321687.0,324941.0,327995.0,330887.0,333682.0,336316.0,338367.0,340051.0
BIH,1717279.0,1697524.0,1682852.0,1672688.0,1662529.0,1654095.0,1646947.0,1640392.0,1634179.0,1626683.0,1616664.0
BLR,7114020.0,7150971.0,7195632.0,7246350.0,7302153.0,7354014.0,7390686.0,7418413.0,7445754.0,7455467.0,7463845.0
BLZ,149043.0,152506.0,156082.0,159731.0,163403.0,167109.0,170864.0,174696.0,178462.0,181762.0,184818.0
BMU,64564.0,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63918.0,63911.0,63893.0,63867.0
BOL,6952386.0,7114992.0,7273140.0,7428682.0,7584842.0,7741971.0,7899666.0,8058094.0,8217386.0,8369995.0,8513008.0
BRA,167726203.0,169827068.0,171885100.0,173941724.0,175989923.0,177986118.0,179958546.0,181939117.0,183878366.0,185636418.0,187143228.0
BRB,87329.0,87148.0,87016.0,86933.0,86898.0,86919.0,86992.0,87114.0,87298.0,87551.0,87864.0
BRN,302374.0,307643.0,312881.0,318042.0,323086.0,327973.0,332655.0,337123.0,341423.0,345650.0,349858.0
BTN,253839.0,262288.0,270775.0,279212.0,287484.0,295616.0,303711.0,311659.0,319355.0,326894.0,334381.0
BWA,1362903.0,1408979.0,1453914.0,1500166.0,1548038.0,1598067.0,1650064.0,1702405.0,1754091.0,1804813.0,1852275.0
CAF,1851877.0,1880110.0,1904787.0,1917526.0,1941083.0,1991979.0,2047664.0,2107405.0,2175935.0,2254648.0,2327367.0
CAN,27847821.0,28166078.0,28479640.0,28781576.0,29011826.0,29357013.0,29729549.0,30175056.0,30638234.0,31023904.0,31229095.0
CEB,64654506.0,64524893.0,64402919.0,64285250.0,64165146.0,64046460.0,63954111.0,63915976.0,63935741.0,63925372.0,63586308.0
CHE,5825978.0,5889928.0,5959745.0,6034707.0,6105617.0,6174416.0,6234162.0,6283319.0,6332759.0,6384901.0,6440172.0
CHI,49068.0,49266.0,49579.0,49875.0,50217.0,50639.0,51075.0,51706.0,52400.0,52982.0,53552.0
CHL,14963678.0,15120117.0,15276709.0,15441376.0,15611340.0,15809289.0,16070668.0,16375738.0,16686776.0,16931587.0,17118329.0
CHN,679390629.0,700996454.0,722694421.0,744357517.0,765822300.0,787376534.0,809246214.0,829760595.0,848982855.0,866810508.0,882894483.0
CIV,10296507.0,10603000.0,10918491.0,11271041.0,11667173.0,12077997.0,12505013.0,12945592.0,13397744.0,13863304.0,14338150.0
CMR,10666950.0,11098737.0,11546101.0,12036424.0,12559842.0,13083840.0,13605785.0,14136765.0,14687684.0,15248270.0,15815458.0
COD,27835187.0,29167345.0,30579203.0,32071811.0,33617961.0,35265313.0,36983500.0,38719038.0,40499458.0,42376327.0,44336645.0
COG,2920696.0,3024450.0,3120234.0,3218363.0,3319351.0,3423356.0,3530528.0,3640941.0,3753170.0,3867728.0,3984863.0
COL,35492726.0,36031220.0,36556170.0,37069292.0,37584580.0,38152200.0,38896985.0,39804944.0,40703994.0,41470292.0,42109638.0
COM,187888.0,192517.0,197390.0,202507.0,207892.0,213564.0,219237.0,224859.0,230683.0,236852.0,243308.0
CPV,328762.0,335379.0,341874.0,348451.0,355043.0,361750.0,368695.0,375462.0,381965.0,388341.0,394509.0
CRI,3410168.0,3502521.0,3592214.0,3678801.0,3762581.0,3844155.0,3923162.0,3999318.0,4071490.0,4137983.0,4196609.0
CSS,3566759.0,3594354.0,3623046.0,3652047.0,3681386.0,3710316.0,3739234.0,3781949.0,3816926.0,3841826.0,3874297.0
CUB,8664868.0,8683386.0,8698029.0,8709909.0,8719925.0,8725410.0,8726424.0,8726939.0,8726192.0,8723461.0,8700275.0
CUW,135409.0,136353.0,137738.0,139450.0,141158.0,142535.0,142881.0,142040.0,140277.0,137999.0,135666.0
CYM,55492.0,56860.0,58212.0,59559.0,60911.0,62255.0,63581.0,64884.0,66134.0,67311.0,68136.0
CYP,771857.0,777911.0,783467.0,788952.0,794836.0,801155.0,807728.0,814301.0,820924.0,826935.0,831814.0
CZE,7681562.0,7693579.0,7705910.0,7723921.0,7748928.0,7773650.0,7805452.0,7844036.0,7888753.0,7922941.0,7796754.0
DEU,61940177.0,62064608.0,62242278.0,62510392.0,63062064.0,63592936.0,63861626.0,64096118.0,64294010.0,64410589.0,64513567.0
DJI,721944.0,736126.0,750407.0,764703.0,779016.0,793314.0,807720.0,822257.0,836802.0,850998.0,864734.0
DMA,47012.0,47316.0,47473.0,48060.0,48710.0,48968.0,49410.0,49918.0,50561.0,51181.0,51699.0
DNK,4844002.0,4872608.0,4901386.0,4932961.0,4974525.0,5020143.0,5059173.0,5091100.0,5116342.0,5138400.0,5167981.0
DOM,7410669.0,7603609.0,7795435.0,7986119.0,8175446.0,8362698.0,8547288.0,8728047.0,8904426.0,9079123.0,9251516.0
DZA,24935851.0,25678117.0,26439316.0,27217778.0,28015534.0,28826081.0,29639704.0,30451166.0,31255632.0,32038217.0,32807002.0
EAP,965894856.0,994473135.0,1023177946.0,1051853331.0,1080375610.0,1109067236.0,1138074091.0,1165687408.0,1191998162.0,1216850621.0,1239686383.0
EAR,1266355697.0,1295870129.0,1326036760.0,1357236002.0,1389523758.0,1421569050.0,1453160846.0,1484856270.0,1516787804.0,1548266308.0,1578900496.0
EAS,1177159568.0,1206613250.0,1236097364.0,1265610762.0,1294988514.0,1324556747.0,1354328520.0,1382700114.0,1409751117.0,1434881782.0,1457042236.0
ECA,252203843.0,254248697.0,256569372.0,259075459.0,261665732.0,264115588.0,266247392.0,268004656.0,269739792.0,271288116.0,272552372.0
ECS,630961782.0,634989639.0,639571136.0,644384592.0,649265373.0,654007193.0,658228229.0,662118330.0,665705220.0,668965453.0,671416247.0
ECU,9577064.0,9752988.0,9925137.0,10095187.0,10267878.0,10444726.0,10630944.0,10859572.0,11097565.0,11285898.0,11454802.0
EGY,38356023.0,39184092.0,40052578.0,40950796.0,41811127.0,42639712.0,43469157.0,44301456.0,45130858.0,45976808.0,46831955.0
EMU,253287677.0,254568545.0,256128892.0,257681423.0,259180525.0,260667414.0,261973277.0,263365458.0,264481968.0,265634146.0,266563346.0
ERI,1147380.0,1183034.0,1218964.0,1249275.0,1276083.0,1306640.0,1340124.0,1380906.0,1424439.0,1470245.0,1519988.0
ESP,36773882.0,36904876.0,36891840.0,36890017.0,36971015.0,37112875.0,37311863.0,37588424.0,37974181.0,38276186.0,38433310.0
